Paper,Species,number of population,stressor,stressor_type,stressor_init,stressor_final,fitness_anc,fitness_evol,fitness_measure,environment,generation,c-score,p-value,estimate,numer of non-parallel genes,numer of parallel genes,parallel genes,,,,
Lang 2014,Saccharomyces cerevisiae,40,,static,,,,,,YPD,910,3.018811247,0.005,0.1744,418,68,"ACE2, ANP1, CCW12, CDC39, CMK2, CNE1, CRF1, CSE1, CTS1, CWH41, ECM21, ERG11, FKS1, FLR1, FYV8, GAL11, GAL4, GAS1, GAT2, GCN1, GPB1, GPB2, HAP1, HSL1, ILS1, IRA1, IRA2, KEL1, KEL3, KRE5, KRE6, MOT3, MPT5, NUP57, PDR5, PMD1, PMT1, PSE1, PTR2, RAD2, ROG3, ROT2, RPO31, SAY1, SEC6, SEC7, SET4, SFL1, SIN3, SKI2, STE11, STE12, STE4, STE5, SVF1, TAF12, TDA9, TUL1, UTH1, WHI2, YGR266W, YHR033W, YJL171C, YLR177W, YMR102C, YMR124W, YNL190W, YUR1",,,,
Lang 2014,Saccharomyces cerevisiae,40,,static,,,,,,YPD,1000,2.840037933,0.005,0.1679,402,62,"ACE2, ANP1, AXL2, CCW12, CDC39, CMK2, CNE1, CSE1, CTS1, CWH41, DOT6, ECM21, ERG11, FKS1, FLR1, FYV8, GAL11, GAS1, GAT2, GCN1, GPB1, GPB2, HAP1, HSL1, IRA1, IRA2, KEL1, KEL3, KRE5, KRE6, MOT3, MPT5, NUP57, PDR5, PMD1, PMT1, PSE1, PTR2, RAD2, RCK2, ROT2, RPO31, SET4, SFL1, SIN3, SKI2, STE11, STE12, STE4, STE5, TAF12, TDA9, TUL1, UTH1, WHI2, YHR033W, YJL171C, YLR177W, YMR102C, YMR124W, YNL190W, YUR1",,,,
Kacar 2017,E.coli,6,,,,,,,,minimal glucose media,500,11.526,0.005,0.004,7,3,"fadA , mreB*, thrT/tuf",,,,
Kacar 2017,E.coli,6,,,,,,,,minimal glucose media,1000,9.482,0.005,0.005,9,5,"fadA , ftsZ, mrdA, mreB*, thrT/tuf",,,,
Kacar 2017,E.coli,6,,,,,,,,minimal glucose media,1500,26.537,0.005,0.004,6,9,"accC, fadA , ftsZ, iclR, kdpD, mrdA, mreB*, pykF, thrT/tuf",,,,
Kacar 2017,E.coli,6,,,,,,,,minimal glucose media,2000,31.207,0.005,0.004,6,9,"accC, fadA , ftsZ, iclR, kdpD, mrdA, mreB*, pykF, thrT/tuf",,,,
Hong 2014,Saccharomyces cerevisiae,3,Ammonium,static,,,1,1.3,fitness,Ammonium,250,52.643,0.005,0.001,3,3,"GAT1, LST4, MEP2",,,,
Hong 2014,Saccharomyces cerevisiae,3,Arginine,static,,,1,1.2,fitness,Arginine,250,19.149,0.005,0.001,3,1,GLN3,,,,
Hong 2014,Saccharomyces cerevisiae,3,Urea,static,,,1,1.9,fitness,Urea,250,74.031,0.005,0.001,0,4,"DAL5, DUR1,2, PUT4/CIN1, SIW14",,,,
Hong 2014,Saccharomyces cerevisiae,3,Allantoin,static,,,1,1.8,fitness,Allantoin,250,27.072,0.005,0.001,1,5,"CTR1, FUR4, GCN4/YEL008W, OAF3, VAC14",,,,
Lennen 2015(Not Using),E.coli,21,,,,,,,MAGE,LB medium,unknown: 6 cycles of MAGE,22.472,0.005,0.033,98,37,"ansA, araB/araC, araB/araC, araC, citC/dpiB, clpX, codA, cynX, efeU/efeO, fhlA, fliF, fumC, gabP, glsA, gspK, hrpA, hsdR, insA, lnt, maeA, mrdA, msrB, nagA, nusA, proV, psd, pyrG/mazG, rpsA, waaA, xylA, yaaJ, ybgQ, ybhF, ydcR/ydcS, ydiY, ydjK, ygcN",,,,
Long 2017,E.coli,10,gene delection,,,,0.18,0.42,GR,minimal glucose media,unknown,11.63,0.005,0.009,17,12,"cpxR, e14 prophage, nagC, pntA, pntB, pyrE / rph, rpoA, rpoB, rpoS, sthA, sthA/fabR, trxB/ lrp",,,,
Sandberg 2014,E.coli,10,,,,,1,1.45,,minimal glucose media,~1500,10.493,0.005,0.061,109,37,"abgB, araG, cas3/cysH, dinQ/arsR, dmsD/clcB, dnaQ, frmR/yaiO, hfq, hns/tdk, hrpB, ilvL/ilvX, isrC, mlaE, mutL, nagA, nagC, pgi/yjbE, pykF, pyrE/rph, rffD, rne, rpoC, secD, tisB/emrD, ybfK/kdpE, ydcD, ydgC, yehC, yehQ, yfdI, yffP/yffQ, yffS, ygaH/mprA, yhhZ, yjjI, ymfE, ynaE",,,,
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,minimal glucose media,7,0,0.99,1,3,0,,,,,
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,minimal glucose media,70,26.62,0.005,0.003,9,3,"MTH1, RIM15, SNF3",,,,
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,minimal glucose media,133,23.073,0.005,0.005,14,6,"GPB2, MTH1, RGT1, RGT2, RIM15, SNF3",,,,
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,minimal glucose media,196,16.581,0.005,0.012,31,5,"GPB2, MTH1, RGT1, RGT2, RIM15",,,,
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,minimal glucose media,266,16.77,0.005,0.015,39,8,"DAL81, GPB2, MTH1, RGT1, RGT2, RIM15, SSK1, SSK2",,,,
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,minimal glucose media,322,13.19,0.005,0.018,38,6,"DAL81, MTH1, RGT1, RIM15, SSK1, SSK2",,,,
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,minimal glucose media,385,18.964,0.005,0.015,39,8,"DAL81, ERG5, GPB2, MTH1, RGT1, RIM15, SSK1, VPS25",,,,
Sherlock 2013,Saccharomyces cerevisiae,3,,,,,,,,minimal glucose media,448,19.217,0.005,0.015,39,8,"CDC55, DAL81, ERG5, GPB2, MTH1, RIM15, SSK1, VPS25",,,,
Sherlock 2019,E.coli,3,,,,,,,,Davids minimal medium,0,0,0.79,1,9,0,,,,,
Sherlock 2019,E.coli,3,,,,,,,,Davids minimal medium,50,4.162,0.005,0.155,120,8,"dgoD, galS, guaB, malT, rpoC, rpoS, rpsA, upstream mglB",,,,
Sherlock 2019,E.coli,3,,,,,,,,Davids minimal medium,100,5.442,0.005,0.256,253,21,"allB, cvrA, fimH, ftsK, galS, garD, hypF, lpxD, malK, malT, mug, opgH, rho, rpoC, rpoS, sgrR, upstream dnaG, upstream mglB, upstream rlmA, yaeI, ynbD",,,,
Sherlock 2019,E.coli,3,,,,,,,,Davids minimal medium,150,3.229,0.005,0.383,234,11,"flhB, ftsK, galS, guaB, malK, malT, rho, rpoS, slt, upstream mglB, yghJ",,,,
Sherlock 2019,E.coli,3,,,,,,,,Davids minimal medium,200,4.685,0.005,0.396,386,32,"acrD, amyA, carB, fimH, fliG, fliP, ftsK, galS, guaB, hfq, lhr, lptD, lpxD, malK, malT, mug, opgH, paaJ, pgi, prmC, ptrA, rho, rlmL, rnc, rpoS, torS, upstream mglB, upstream rlmA, xanP, yciM, yghJ, ynbD",,,,
Sherlock 2019,E.coli,3,,,,,,,,Davids minimal medium,250,5.464,0.005,0.389,427,41,"acrD, aroD, copA, dacA, fliI, ftsK, fumA, galS, gatZ, hfq, lhr, lptD, lpxD, malK, malT, mdtD, mug, opgG, opgH, pgi, phnK, ptsI, purL, rhaA, rho, rhsC, rhtB, rlmL, rnc, rpoS, torS, upstream mglB, upstream rlmA, yaiW, ybiC, yciM, ycjU, yfhM, yfjX, ynbD, yobF",,,,
Sherlock 2019,E.coli,3,,,,,,,,Davids minimal medium,300,4.216,0.005,0.542,649,84,"acrB, acrD, aidB, asd, asmA, cca, corA, cpsG, cusS, dacC, downstream hfq/upstream hflX, emrB, fdhF, fes, fliP, fruA, ftsK, galS, gatZ, gyrB, hcaE, hdfR, hfq, hyaB, ilvY, kefC, lacZ, lpd, lptB, lptC, lptD, lptG, lpxD, malK, malT, narV, nrfE, opgG, opgH, pfkA, pgi, phnK, phnM, proQ, ptrA, ptsI, ptsP, putA, puuC, rbsA, recX, rho, rlmL, rpoC, sbcC, sgrR, slt, spr, torS, upstream appY, upstream mglB, upstream yiiE, xanP, ybbN, ybcK, ybhJ, yciM, ycjU, ydcI, ydcT, yeaH, yegX, yehI, yfeO, yfhM, ygiS, yheS, yhgF, yhjD, yoaA, yobF, ytfN, ytfR, znuC",,,,
Sherlock 2019,E.coli,3,,,,,,,,Davids minimal medium,350,3.768,0.005,0.61,620,48,"actP, ade, cca, fdnG, fimH, galS, gshB, gyrB, hfq, hsrA, hybC, kefA, lacZ, leuC, lptD, lptG, malK, mdtH, mukB, mutS, opgG, opgH, pfkA, pgi, pgsA, phnM, radA, rho, rhsD, rne, rpoA, slt, stfR, torS, upstream mglB, upstream ndh, upstream yiiE, wzzE, ybaL, ybhJ, ybiH, ybjL, ydhV, yebT, yfeO, yhfW, ynbD, yqeG",,,,
Sherlock 2019,E.coli,3,,,,,,,,Davids minimal medium,400,3.504,0.005,0.669,723,61,"actP, ade, adhE, bcsC, fabR, fimH, fliM, gatZ, glcD, glpR, hcaE, hfq, hsrA, hyaB, ilvA, leuC, lptD, malE, malK, mdtH, mltA, mukB, nagE, narX, opgH, pcnB, pgi, pgsA, rho, rng, rpoA, slt, tar, torS, ubiB, upstream dnaG, upstream mglB, upstream yiiE, ushA, wzzE, ybaL, ybbY, ycgG, ydhC, ydhV, ydiU, yeeJ, yfaQ, yfbS, ygcB, yghJ, yhfK, yhfT, yiaO, yjcE, yjeP, ynbD, yqeG, yrfF, ytfN, ytfR",,,,
Sherlock 2019,E.coli,3,,,,,,,,Davids minimal medium,450,4.003,0.005,0.633,700,61,"actP, ade, adhE, aegA, araE, bglF, cca, deaD, fabR, fdnG, gatZ, glcD, glpR, gudD, hcaE, hfq, hsrA, hyaB, lacZ, lptD, lptG, malE, malK, mdtH, mukB, ompR, opgH, pfkA, pgi, phnD, ptsP, purR, putP, rcsC, rho, rng, rpoA, rsxC, slt, tdh, torS, ulaC, upstream dnaG, upstream efeO, upstream mglB, wzzE, ybaL, ybbY, ydiU, yejM, yfaQ, yfiF, yghA, yghJ, yhfK, yhhJ, yjeP, ynbD, yqeB, yrfF, ytfR",,,,
Sherlock 2019,E.coli,3,,,,,,,,Davids minimal medium,500,4.727,0.005,0.631,760,75,"adhE, aes, aidB, asmA, bcsC, bcsG, cca, dnaG, dusA, dxs, efeB, fdhF, fdnG, flgG, gatZ, gltS, gudD, hfq, hsdR, hyaB, iaaA, ligB, lptB, lptD, lptG, malE, malK, malP, mdtF, modF, nagE, narZ, ompR, opgH, pcnB, pgi, phnD, purR, puuC, rbsB, rcsC, recD, relA, rho, rihA, rng, rpoA, rsxC, slt, tdh, upstream adhE, upstream dnaG, upstream mglB, upstream yfaQ, wcaE, xdhD, yafS, ybaL, ybbY, ybiW, yedK, yeeF, yejM, yfgF, ygeV, yghA, yghJ, yhfK, yjeP, ynbD, yohD, yphD, yrfF, ytfN, ytfR",,,,
Creamer 2016,E.coli,16,benzoate,dynamic,5,20,0.02,0.24,OD,LBK medium,2000,10.167,0.005,0.025,36,64,"[gadW]–slp, [hscC]–gltI, [ydeA]–[ydeH], aceA, add, apt, ariR (ymgB) , bcsB, chbC, cpxA, cspC, cysB /acnA, ddpX /dos, elbA /ycgX, fabB/ trmC, fdnG, fdnI/yddM, fimA, fimE, fimE/fimA, folD, frlD, fucA, gadX, glyV / glyX, hepA, hfq, hisG, hrpA, idnR, lptD, ltaE, mdtA, metA /aceB, narH, nrfG /gltP, nupG, pncB/pepN, pqqL, prlF, rfaY, rnb, rob, rpoA, rpoB, rpoD, sohA, uxaA, xylF / xylA, yajQ /yajR, ybaN/apt, ybcQ/ insH, ycjM, yeaR, yeaS, yebG, yejM, yfhM, yhiS, yjgN, yjhA/ fimB, yneL/ hipA, yqiG, yrfF/nudE",,,,
Sandberg2016,E.coli,6,Flask 23,,,,,,, Davids minimal medium,963,16.152,0.005,0.002,3,3,"pyrE/rph, rhsE, rpoB",,,,
Sandberg2016,E.coli,6,Flask 58,,,,,,, Davids minimal medium,963,37.758,0.005,0.002,5,2,"pyrE/rph, rpoB",,,,
Sandberg2016,E.coli,6,Flask 133,,,,,,, Davids minimal medium,963,29.202,0.005,0.005,12,4,"hns/tdk, pyrE/rph, rhsE, rpoB",,,,
McCloskey2018,E.coli,24,,,,,,,,M9 minimal medium,unknown: ran for 40 days,11.207,0.005,0.026,3,102,"ackA, add;ydgJ, adhE, allD, alsE, bcp, bcsA, caiF, chbB;osmE, cpxA, crp, csgC, cyaA, cyoA;ampG, cysB, cysD;iap, entB, fabR, fliR;rcsA, frmR;yaiO, ftsI, galP, galR, glk;yfeO, glnD, glpT;glpA, icd, ilvG, ilvL, insH1, insL1;entD, ispE, leuV;leuP, lsrK, marC;marR, mrdB, murA, nagA, nagC, nagE, nanT, nemR, opgH, phoB, phoR, pntA;ydgH, pntB, polA;spf, prkB, pstA, pta, ptsG, ptsH, ptsP, pykF, rapA, rbbA, rcsB, relA, rhsB, rpoB, rpoC, rpoD, rpsA, rrfB, rrlB, rseC, rsxC, rttR, sbcD;phoB, soxR, spf, sthA, sucA, sucB, sulA;sxy, truC, ttcA, wecA, ybeR, ybfE, ycdU;serX, yciC, ydbA, ydbC, ydhL;nemR, ydiP;ydiQ, ydiU, yecJ;azuC, yfeR, ygeO, yheS, yibV, yibV;yibU, yidX, yifB, yifN, yjhE, ypdA, yrfF, zwf, zwf;yebK",,,,
McCloskey2018,E.coli-gnd,3,,,,,,,,M9 minimal medium,unknown: ran for 40 days,22.293,0.005,0.006,13,2,"insH1, pntA;ydgH",,,,
McCloskey2018,E.coli-Pgi,8,,,,,,,,M9 minimal medium,unknown: ran for 40 days,16.685,0.005,0.014,33,8,"ackA, crp, fabR, icd, insH1, rapA, rpoD, ycdU;serX",,,,
McCloskey2018,E.coli-PtsHIcrr,4,,,,,,,,M9 minimal medium,unknown: ran for 40 days,19.394,0.005,0.008,16,6,"glk;yfeO, insH1, rcsB, ycdU;serX, ydbA, yrfF",,,,
McCloskey2018,E.coli-ref,2,,,,,,,,M9 minimal medium,unknown: ran for 40 days,-0.074,0.01,1,10,0,,,,,
McCloskey2018,E.coli-sdhCBE,3,,,,,,,,M9 minimal medium,unknown: ran for 40 days,32.089,0.005,0.003,8,3,"cysD;iap, insH1, sucA",,,,
McCloskey2018,E.coli-tpiAE,4,,,,,,,,M9 minimal medium,unknown: ran for 40 days,23.449,0.005,0.009,20,10,"insH1, nagA, nagE, nemR, phoB, phoR, pstA, pykF, rrfB, yidX",,,,
Jerison 2017,Saccharomyces cerevisiae,4,A03,,,,,,,Synthetic-HT-high temperature,500,13.751,0.005,0.015,25,1,ENP2,,,,
Jerison 2017,Saccharomyces cerevisiae,4,A05,,,,,,,Synthetic-HT-high temperature,500,0,0.005,1,15,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,A06,,,,,,,Synthetic-HT-high temperature,500,17.689,0.005,0.004,8,1,BFR2,,,,
Jerison 2017,Saccharomyces cerevisiae,4,A07,,,,,,,Synthetic-HT-high temperature,500,7.954,0.005,0.006,12,3,"PDE2, SIR4, SRS2",,,,
Jerison 2017,Saccharomyces cerevisiae,4,A10,,,,,,,Synthetic-HT-high temperature,500,19.728,0.005,0.002,7,2,"ENP2, RXT3",,,,
Jerison 2017,Saccharomyces cerevisiae,4,A11,,,,,,,Synthetic-HT-high temperature,500,0,0.215,1,9,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,A12,,,,,,,Synthetic-HT-high temperature,500,0,0.015,1,4,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,B04,,,,,,,Synthetic-HT-high temperature,500,13.516,0.005,0.003,6,1,GPB2,,,,
Jerison 2017,Saccharomyces cerevisiae,4,B05,,,,,,,Synthetic-HT-high temperature,500,0,0.78,0.236,1,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,B07,,,,,,,Synthetic-HT-high temperature,500,0,0.005,1,5,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,C05,,,,,,,Synthetic-HT-high temperature,500,0,0.005,1,15,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,C06,,,,,,,Synthetic-HT-high temperature,500,0,0.005,1,2,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,C08,,,,,,,Synthetic-HT-high temperature,500,0,0.005,1,2,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,C09,,,,,,,Synthetic-HT-high temperature,500,11.023,0.005,0.005,8,1,UTP20,,,,
Jerison 2017,Saccharomyces cerevisiae,4,D03,,,,,,,Synthetic-HT-high temperature,500,0,0.005,1,2,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,D04,,,,,,,Synthetic-HT-high temperature,500,0,0.02,1,4,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,D05,,,,,,,Synthetic-HT-high temperature,500,3.568,0.005,0.02,17,1,ENP2,,,,
Jerison 2017,Saccharomyces cerevisiae,4,D07,,,,,,,Synthetic-HT-high temperature,500,11.03,0.01,0.003,6,1,ENP2,,,,
Jerison 2017,Saccharomyces cerevisiae,4,D09,,,,,,,Synthetic-HT-high temperature,500,3.88,0.005,0.008,10,1,ENP2,,,,
Jerison 2017,Saccharomyces cerevisiae,4,E07,,,,,,,Synthetic-HT-high temperature,500,27.075,0.005,0.001,2,1,PDE2,,,,
Jerison 2017,Saccharomyces cerevisiae,4,E08,,,,,,,Synthetic-HT-high temperature,500,5.725,0.005,0.011,16,2,"ENP2, YPK9",,,,
Jerison 2017,Saccharomyces cerevisiae,4,F05,,,,,,,Synthetic-HT-high temperature,500,0,0.885,1,8,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,F07,,,,,,,Synthetic-HT-high temperature,500,6.949,0.005,0.007,10,1,SIR3,,,,
Jerison 2017,Saccharomyces cerevisiae,4,F08,,,,,,,Synthetic-HT-high temperature,500,2.976,0.005,0.022,18,1,SIR3,,,,
Jerison 2017,Saccharomyces cerevisiae,4,F10,,,,,,,Synthetic-HT-high temperature,500,17.088,0.005,0.004,9,3,"IRA1, KRE33, RQC2",,,,
Jerison 2017,Saccharomyces cerevisiae,4,G01,,,,,,,Synthetic-HT-high temperature,500,16.344,0.005,0.004,9,2,"ENP2, RTC1",,,,
Jerison 2017,Saccharomyces cerevisiae,4,G03,,,,,,,Synthetic-HT-high temperature,500,0,0.965,1,7,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,G09,,,,,,,Synthetic-HT-high temperature,500,0,1,1,11,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,G11,,,,,,,Synthetic-HT-high temperature,500,33.161,0.005,0.002,5,1,SIR3,,,,
Jerison 2017,Saccharomyces cerevisiae,4,H02,,,,,,,Synthetic-HT-high temperature,500,0,0.285,1,14,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,H04,,,,,,,Synthetic-HT-high temperature,500,11.472,0.005,0.005,11,1,BFR2,,,,
Jerison 2017,Saccharomyces cerevisiae,4,H07,,,,,,,Synthetic-HT-high temperature,500,19.365,0.005,0.004,10,1,IRA1,,,,
Jerison 2017,Saccharomyces cerevisiae,4,H08,,,,,,,Synthetic-HT-high temperature,500,6.033,0.005,0.005,8,1,IRA1,,,,
Jerison 2017,Saccharomyces cerevisiae,4,H12,,,,,,,Synthetic-HT-high temperature,500,5.492,0.005,0.009,11,1,KRE33,,,,
Jerison 2017,Saccharomyces cerevisiae,4,A03,,,,,,,Synthetic-OT-Optimal temperature,500,0,0.005,1,5,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,A06,,,,,,,Synthetic-OT-Optimal temperature,500,15.621,0.005,0.002,4,2,"BUD23, ENP2",,,,
Jerison 2017,Saccharomyces cerevisiae,4,A07,,,,,,,Synthetic-OT-Optimal temperature,500,27.072,0.005,0.002,5,1,IRA2,,,,
Jerison 2017,Saccharomyces cerevisiae,4,A10,,,,,,,Synthetic-OT-Optimal temperature,500,11.035,0.005,0.002,5,2,"ENP2, KRE33",,,,
Jerison 2017,Saccharomyces cerevisiae,4,A11,,,,,,,Synthetic-OT-Optimal temperature,500,0,0.005,1,13,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,A12,,,,,,,Synthetic-OT-Optimal temperature,500,0,0.005,1,6,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,B04,,,,,,,Synthetic-OT-Optimal temperature,500,0,0.005,1,5,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,B05,,,,,,,Synthetic-OT-Optimal temperature,500,0,0.005,1,2,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,C05,,,,,,,Synthetic-OT-Optimal temperature,500,81.259,0.005,0,0,1,KRE33,,,,
Jerison 2017,Saccharomyces cerevisiae,4,C06,,,,,,,Synthetic-OT-Optimal temperature,500,0,0.785,0.236,1,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,C08,,,,,,,Synthetic-OT-Optimal temperature,500,0,0.005,1,3,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,C09,,,,,,,Synthetic-OT-Optimal temperature,500,0,0.005,1,6,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,D03,,,,,,,Synthetic-OT-Optimal temperature,500,0,0.755,0.236,1,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,D04,,,,,,,Synthetic-OT-Optimal temperature,500,0,0.005,1,2,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,D05,,,,,,,Synthetic-OT-Optimal temperature,500,0,1,1,11,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,D07,,,,,,,Synthetic-OT-Optimal temperature,500,0,1,1,11,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,D09,,,,,,,Synthetic-OT-Optimal temperature,500,15.62,0.005,0.002,4,1,KRE33,,,,
Jerison 2017,Saccharomyces cerevisiae,4,E07,,,,,,,Synthetic-OT-Optimal temperature,500,0,0.005,1,2,0,,,,,
Jerison 2017,Saccharomyces cerevisiae,4,E08,,,,,,,Synthetic-OT-Optimal temperature,500,0,0.92,1,8,0,,,,,
